מחוז,סמל יישוב,שם יישוב,אזור סטטיסטי,סך הכל אוכלוסייה באזור הסטטיסטי,מזה: חרדים מספרים מוחלטים,מזה: חרדים אחוזים
חיפה,9800,בנימינה-גבעת עדה*,3,"5,055",..,..
חיפה,9800,בנימינה-גבעת עדה*,4,"2,165",..,..
חיפה,683,גבע כרמל,0,"1,220",..,..
חיפה,9300,זכרון יעקב,2,"6,588",792,12.0
חיפה,9300,זכרון יעקב,3,"5,796",..,..
חיפה,9300,זכרון יעקב,4,"8,616","1,757",20.4
חיפה,6500,חדרה,12,"3,898",..,..
חיפה,6500,חדרה,13,"5,971",..,..
חיפה,6500,חדרה,21,"3,411",..,..
חיפה,6500,חדרה,31,"4,872",414,8.5
חיפה,6500,חדרה,32,"6,127",868,14.2
חיפה,6500,חדרה,41,"14,712",..,..
חיפה,6500,חדרה,42,"2,726",..,..
חיפה,6500,חדרה,43,"2,655",102,3.8
חיפה,6500,חדרה,44,"4,769","1,711",35.9
חיפה,6500,חדרה,45,"4,054",277,6.8
חיפה,6500,חדרה,51,"4,834",103,2.1
חיפה,6500,חדרה,52,"4,265",..,..
חיפה,6500,חדרה,61,"3,869",..,..
חיפה,6500,חדרה,62,"2,714",92,3.4
חיפה,6500,חדרה,64,"6,009",170,2.8
חיפה,6500,חדרה,65,883,..,..
חיפה,4000,חיפה,111,"2,441",759,31.1
חיפה,4000,חיפה,112,"5,876","1,385",23.6
חיפה,4000,חיפה,121,"4,871",..,..
חיפה,4000,חיפה,135,"4,764",..,..
חיפה,4000,חיפה,314,"1,425",52,3.7
חיפה,4000,חיפה,334,"3,615",..,..
חיפה,4000,חיפה,411,"3,547",62,1.7
חיפה,4000,חיפה,412,"3,103",..,..
חיפה,4000,חיפה,421,"2,049",..,..
חיפה,4000,חיפה,426,"3,823",..,..
חיפה,4000,חיפה,528,"3,798",..,..
חיפה,4000,חיפה,622,"3,191","1,053",33.0
חיפה,4000,חיפה,623,"3,550",952,26.8
חיפה,4000,חיפה,631,"4,503","1,075",23.9
חיפה,4000,חיפה,633,"1,529",..,..
חיפה,4000,חיפה,634,"1,516",..,..
חיפה,4000,חיפה,641,"4,058","1,825",45.0
חיפה,4000,חיפה,642,"4,570","3,643",79.7
חיפה,4000,חיפה,643,"2,399","2,186",91.1
חיפה,4000,חיפה,644,720,229,31.8
חיפה,4000,חיפה,713,"5,058",..,..
חיפה,4000,חיפה,714,"5,037",..,..
חיפה,4000,חיפה,721,"4,077",633,15.5
חיפה,4000,חיפה,722,"3,769","1,043",27.7
חיפה,4000,חיפה,723,"4,941",95,1.9
חיפה,4000,חיפה,731,"2,438",..,..
חיפה,4000,חיפה,811,"3,513",984,28.0
חיפה,4000,חיפה,812,"3,479",..,..
חיפה,4000,חיפה,821,"5,021",..,..
חיפה,4000,חיפה,822,"1,901",71,3.7
חיפה,4000,חיפה,922,"3,743",..,..
חיפה,4000,חיפה,933,"3,626",..,..
חיפה,4000,חיפה,934,"3,300",..,..
חיפה,4000,חיפה,942,"1,923",..,..
חיפה,4000,חיפה,943,"3,653",..,..
חיפה,1247,חריש,0,"19,567","2,957",15.1
חיפה,2100,טירת כרמל,1,"1,726",..,..
חיפה,2100,טירת כרמל,3,"4,363",..,..
חיפה,2100,טירת כרמל,4,"1,848",74,4.0
חיפה,2100,טירת כרמל,5,"4,929",301,6.1
חיפה,2100,טירת כרמל,7,"3,026",..,..
חיפה,890,כפר הנוער הדתי,0,376,..,..
חיפה,112,כפר חסידים א',0,837,..,..
חיפה,189,כפר פינס,0,"1,088",..,..
חיפה,102,מאיר שפיה,0,336,..,..
חיפה,1370,מצפה אילן,0,725,..,..
חיפה,926,נווה אבות,0,50,..,..
חיפה,769,ניר עציון,0,967,..,..
חיפה,2500,נשר,2,"3,514",143,4.1
חיפה,2500,נשר,6,"3,341",..,..
חיפה,53,עתלית,0,"9,731",100,1.0
חיפה,7800,פרדס חנה-כרכור,1,"4,942",..,..
חיפה,7800,פרדס חנה-כרכור,2,"4,189",..,..
חיפה,7800,פרדס חנה-כרכור,5,"3,520",..,..
חיפה,7800,פרדס חנה-כרכור,6,"3,346",..,..
חיפה,7800,פרדס חנה-כרכור,7,"3,633",66,1.8
חיפה,7800,פרדס חנה-כרכור,9,"6,133",123,2.0
חיפה,7800,פרדס חנה-כרכור,10,"5,606",..,..
חיפה,6800,קריית אתא,11,"6,437",..,..
חיפה,6800,קריית אתא,12,"5,220",..,..
חיפה,6800,קריית אתא,13,"4,055",114,2.8
חיפה,6800,קריית אתא,14,"3,892",..,..
חיפה,6800,קריית אתא,21,"6,483",..,..
חיפה,6800,קריית אתא,22,"5,497",917,16.7
חיפה,6800,קריית אתא,23,"4,978",924,18.6
חיפה,6800,קריית אתא,24,"6,079",492,8.1
חיפה,6800,קריית אתא,25,"8,814",497,5.6
חיפה,6800,קריית אתא,32,"3,471",76,2.2
חיפה,9500,קריית ביאליק,2,"4,991",71,1.4
חיפה,9500,קריית ביאליק,3,"5,076",..,..
חיפה,9500,קריית ביאליק,5,"4,728",..,..
חיפה,9500,קריית ביאליק,7,"3,240",..,..
חיפה,9500,קריית ביאליק,10,"4,270",..,..
חיפה,9500,קריית ביאליק,11,"5,974",..,..
חיפה,2300,קריית טבעון,1,"6,002",..,..
חיפה,2300,קריית טבעון,4,"3,429",..,..
חיפה,9600,קריית ים,14,"4,264",..,..
חיפה,9600,קריית ים,22,"2,050",..,..
חיפה,9600,קריית ים,23,"1,819",114,6.2
חיפה,9600,קריית ים,25,"2,324",..,..
חיפה,9600,קריית ים,34,"5,004",..,..
חיפה,8200,קריית מוצקין,12,"7,557",..,..
חיפה,8200,קריית מוצקין,22,"5,141",..,..
חיפה,8200,קריית מוצקין,23,"2,129",..,..
חיפה,8200,קריית מוצקין,31,"2,096",89,4.3
חיפה,8200,קריית מוצקין,32,"2,329",..,..
חיפה,922,רכסים,0,"13,265","12,099",91.2
חיפה,2008,שדה יצחק,0,715,..,..
חיפה,327,שדות ים,0,"1,108",..,..
חיפה,237,שער העמקים,0,763,..,..
חיפה,921,שער מנשה,0,527,..,..
המרכז,182,אבן יהודה,0,"14,020",..,..
המרכז,797,אחיעזר,0,"1,978",724,36.6
המרכז,41,אליכין,0,"3,484",339,9.7
המרכז,841,אלישמע,0,"1,204",..,..
המרכז,1309,אלעד,1,"8,259","7,398",89.6
המרכז,1309,אלעד,2,"6,955","5,683",81.7
המרכז,1309,אלעד,3,"5,366","4,492",83.7
המרכז,1309,אלעד,4,"6,762","6,186",91.5
המרכז,1309,אלעד,5,"6,325","5,698",90.1
המרכז,1309,אלעד,6,"7,237","6,698",92.6
המרכז,1309,אלעד,7,"8,263","7,729",93.5
המרכז,2530,באר יעקב,0,"29,015",765,2.6
המרכז,2043,בחן,0,"1,115",..,..
המרכז,1076,בית ברל,0,226,..,..
המרכז,466,בית דגן,0,"7,299",..,..
המרכז,2033,בית חלקיה,0,"1,407","1,402",99.6
המרכז,848,בית רבן,0,931,..,..
המרכז,1084,בן שמן (כפר נוער),0,671,..,..
המרכז,1066,"בני עי""ש",0,"6,925",50,0.7
המרכז,588,בני ראם,0,"1,428",205,14.3
המרכז,2038,ברקת,0,"2,127",556,26.1
