סמל יישוב ,שם יישוב,אזור סטטיסטי,מין,"סה""כ",4-0,9-5,14-10,19-15,24-20,29-25,34-30,39-35,44-40,49-45,54-50,59-55,64-60,+65
524,נאעורה,,נשים,"1,149",119,105,125,146,97,93,78,82,68,60,44,46,31,56
522,נחף,,"סה""כ","13,331","1,426","1,325","1,367","1,467","1,283","1,194",933,814,798,706,644,461,333,579
522,נחף,,גברים,"6,761",724,663,676,726,663,617,504,429,407,362,328,225,154,283
522,נחף,,נשים,"6,570",702,662,691,741,620,577,429,385,391,344,316,236,180,296
523,ניין,,"סה""כ","1,898",161,154,161,204,198,166,130,105,106,129,95,82,74,133
523,ניין,,גברים,955,77,75,89,98,93,98,68,60,50,64,47,37,35,65
523,ניין,,נשים,943,84,79,72,106,105,69,62,45,56,66,47,45,39,68
7300,נצרת,11,"סה""כ","2,286",155,147,134,138,177,209,157,122,123,133,119,152,125,395
7300,נצרת,11,גברים,"1,120",85,80,67,77,84,97,88,62,56,64,58,72,62,168
7300,נצרת,11,נשים,"1,166",70,66,67,61,93,112,69,60,66,68,61,80,63,227
7300,נצרת,12,"סה""כ","6,448",528,559,494,576,669,661,431,344,364,396,371,346,257,451
7300,נצרת,12,גברים,"3,227",272,276,251,296,342,358,226,172,173,193,175,177,124,192
7300,נצרת,12,נשים,"3,221",255,283,243,280,327,303,205,172,192,204,197,169,133,259
7300,נצרת,13,"סה""כ","5,667",478,455,470,556,545,500,371,298,353,347,312,307,228,447
7300,נצרת,13,גברים,"2,841",214,231,254,282,290,256,183,156,171,171,168,148,107,211
